subject,metric,dataset,V1,V2,V3,V4,PPA,FFA,LOC,OPA
1,l1_norm,Scenes,0.0325908131647034,0.019391752694829453,0.0017312847097349494,0.00017756000807573886,-0.08120834459673794,0.011270165748832375,0.008326503074512336,-0.0479320251413632
2,l1_norm,Scenes,-0.003045337101548279,-0.04467103888614876,-0.03674513869090788,-0.053740225634371336,-0.13737190556630913,-0.12242190775695558,-0.04544530067671223,-0.08212074686281995
3,l1_norm,Scenes,0.028623234986997204,0.03197610258345792,0.0365976641163639,0.045720708024437756,-0.0666558005080229,-0.0012581720606824585,0.04083174580557996,0.03185483255803977
4,l1_norm,Scenes,-0.06301508463855318,-0.08610040820536005,-0.087348810129511,-0.0818215688505054,-0.1156404922460212,-0.08656007179063835,-0.1240114326242112,-0.11450895466841209
1,l1_norm,COCO,-0.058712183419036855,-0.08164289502108413,-0.0696941413649768,-0.02326967838273491,-0.19740006940407143,-0.09244901429693828,-0.037893697599550524,-0.14681618587071313
2,l1_norm,COCO,0.0009466309731442299,-0.013002639457867074,-0.0035509601647670686,-0.05504728941047101,-0.12774510678762807,-0.10958632469387848,0.008502272157099573,-0.05416500742863925
3,l1_norm,COCO,-0.02910153875736667,-0.00020178707972604923,-0.009141518206550724,-0.0489386089441117,-0.08815626281609273,-0.056659392759442796,-0.004794041164726507,-0.037382752938030575
4,l1_norm,COCO,-0.0407577166052555,-0.05445064389489023,-0.043762299686867547,-0.06538097632741548,-0.11231402061232246,-0.09467108723172517,-0.04680023274379503,-0.10731303826612616
1,l1_norm,ImageNet,-0.05758265793806689,-0.03550067200223523,-0.039846491753116206,-0.07915771469064885,-0.16012854059939363,-0.06363596358233836,-0.017401915389315483,-0.1752090139078103
2,l1_norm,ImageNet,-0.026417596063660943,-0.01586644234443303,-0.031441757690979615,-0.07009357961947868,-0.12889116075067258,-0.06611491348881934,0.024155351524117016,-0.11271855314838392
3,l1_norm,ImageNet,0.001921375732724342,0.007378153407855054,0.030889925125453806,0.002273704263923355,-0.062220178368647454,0.009338825379447193,0.0550017506531918,-0.056554952665167496
4,l1_norm,ImageNet,-0.023142247199348515,-0.06273204138507292,-0.08704107408300353,-0.11721978985390324,-0.14883946825583141,0.008242391053839164,-0.02284462699098737,-0.14249690452762487
1,sum_all,Scenes,0.018380417767389776,0.026929421577281266,0.006088774996042259,-0.06053863645274767,-0.12888458357828503,-0.04101575967055844,-0.01445382112002051,-0.03148800637038675
2,sum_all,Scenes,-0.004276236079431648,-0.027528324639737325,-0.024562091263163877,-0.03456663422931884,-0.11371952481017993,-0.10346841439969125,-0.038938434154510315,-0.05958281006982458
3,sum_all,Scenes,0.003917005535636284,0.02436794669255569,0.03579308541232647,0.012893946773656134,-0.055548842293483905,0.013849279656549127,0.072504482481313,0.06691098462189798
4,sum_all,Scenes,-0.05849212011534142,-0.05468073814665406,-0.07737422410708711,-0.09662993276225099,-0.11413035799019092,-0.1007894330965589,-0.08571060438279485,-0.11118331991790528
1,sum_all,COCO,-0.042396868103721536,-0.021838120261331872,-0.015555474433913655,-0.03681489543570585,-0.18849725613557533,-0.030988761648091313,0.015313161085047029,-0.10420717716215466
2,sum_all,COCO,-0.01536418509555078,-0.025977628453866575,-0.010229446555109387,-0.04842021010505253,-0.16325721869943985,-0.11998688533455917,-0.012197005409611713,-0.047337957266921755
3,sum_all,COCO,0.00791545322210655,0.009559861011586877,0.017687767307076965,0.0032961090154686955,-0.08759119499689785,-0.05232605341709894,0.025655728765283544,-0.00647637632630129
4,sum_all,COCO,-0.06384327555077003,-0.07298179302296415,-0.07280400780601805,-0.07413241022208887,-0.10311947259855388,-0.0795833589305874,-0.038438924679123805,-0.10797909783121981
1,sum_all,ImageNet,-0.10639686317600966,-0.01853030166831755,0.006202021158442512,-0.05855091088779284,-0.19556845366460515,-0.057814401237360126,0.0326979081224527,-0.11810984165423566
2,sum_all,ImageNet,-0.04071368442169875,-0.037138562489468015,-0.03385289347250619,-0.06938486923850297,-0.12458831161132758,-0.03999866573197034,0.007211210567607149,-0.1156617102360594
3,sum_all,ImageNet,0.032269154435445674,0.033349544662573095,0.038006807228669955,0.021589650695009437,-0.0889298665279491,0.03538814979673366,0.08190561767826866,-0.006198068925477555
4,sum_all,ImageNet,-0.01866990013130701,-0.048447816115496464,-0.07774696162317521,-0.12843370344615554,-0.14919407347704067,0.01931316895104898,-0.04278768936880991,-0.13981563283505583
